=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.21 15:20:01 =~=~=~=~=~=~=~=~=~=~=~=
Initializing HX711...
...Tare...
HX711 Initialized!

Initializing LCD...
Testing the display...
LCD initialized!

Reading sensitivity from memory...
Sensitivity: 2924.07740 div/g 
0.00284 g 
0.00626 g 
0.00961 g 
0.01300 g 
0.01395 g 
0.01597 g 
0.01816 g 
0.01984 g 
0.02339 g 
0.02712 g 
0.02681 g 
0.02705 g 
0.02527 g 
0.02271 g 
0.02459 g 
0.02541 g 
0.02674 g 
0.02893 g 
0.02797 g 
0.02671 g 
0.02657 g 
0.02401 g 
0.02411 g 
0.02449 g 
0.02295 g 
0.02305 g 
0.02466 g 
0.02435 g 
0.02500 g 
0.02387 g 
0.02302 g 
0.02486 g 
0.02497 g 
0.02732 g 
0.02999 g 
0.02924 g 
0.02719 g 
0.02603 g 
0.02589 g 
0.02620 g 
0.02664 g 
0.02640 g 
0.02736 g 
0.02715 g 
0.02709 g 
0.02982 g 
0.02825 g 
0.02401 g 
0.02175 g 
0.02425 g 
0.02633 g 
0.02780 g 
0.03163 g 
0.03314 g 
0.03351 g 
0.03263 g 
0.03584 g 
0.04289 g 
0.04480 g 
0.04295 g 
0.04118 g 
0.03899 g 
0.03594 g 
0.03553 g 
0.03714 g 
0.03765 g 
0.03618 g 
0.03464 g 
0.03488 g 
0.03550 g 
0.03786 g 
0.04032 g 
0.03892 g 
0.03745 g 
0.03557 g 
0.03540 g 
0.03519 g 
0.03375 g 
0.03321 g 
0.03310 g 
0.03263 g 
0.03225 g 
0.03522 g 
0.03652 g 
0.03577 g 
0.03512 g 
0.03690 g 
0.03994 g 
0.04213 g 
0.04330 g 
0.04268 g 
0.04247 g 
0.04210 g 
0.04196 g 
0.04121 g 
0.03974 g 
0.03817 g 
0.03659 g 
0.03605 g 
0.03570 g 
0.03505 g 
0.03410 g 
0.03314 g 
0.03256 g 
0.03420 g 
0.03379 g 
0.03225 g 
0.03269 g 
0.03218 g 
0.03259 g 
0.03290 g 
0.03328 g 
0.03379 g 
0.03365 g 
0.03266 g 
0.03297 g 
0.03454 g 
0.03502 g 
0.03546 g 
0.03369 g 
0.03225 g 
0.03191 g 
0.03027 g 
0.02975 g 
0.02832 g 
0.02886 g 
0.02917 g 
0.02664 g 
0.02589 g 
0.02746 g 
0.02890 g 
0.02989 g 
0.03150 g 
0.03208 g 
0.03362 g 
0.03375 g 
0.03331 g 
0.03379 g 
0.03324 g 
0.03235 g 
0.03324 g 
0.03290 g 
0.03328 g 
0.03574 g 
0.03844 g 
0.04162 g 
0.04360 g 
0.04603 g 
0.04682 g 
0.04689 g 
0.04436 g 
0.04227 g 
0.04347 g 
0.04330 g 
0.03970 g 
0.03642 g 
0.03581 g 
0.03495 g 
0.03605 g 
0.03892 g 
0.04203 g 
0.04552 g 
0.04425 g 
0.04244 g 
0.04343 g 
0.04333 g 
0.04213 g 
0.04193 g 
0.04141 g 
0.03977 g 
0.04053 g 
0.04278 g 
0.04559 g 
0.04709 g 
0.04737 g 
0.04952 g 
0.05096 g 
0.05321 g 
0.05458 g 
0.05359 g 
0.05181 g 
0.04856 g 
0.04559 g 
0.04449 g 
0.04596 g 
0.04514 g 
0.04360 g 
0.04155 g 
0.04035 g 
0.04005 g 
0.04012 g 
0.04001 g 
0.03919 g 
0.03871 g 
0.03786 g 
0.03936 g 
0.04364 g 
0.04593 g 
0.04668 g 
0.04911 g 
0.04887 g 
0.04678 g 
0.04764 g 
0.04908 g 
0.04983 g 
0.04962 g 
0.04689 g 
0.04473 g 
0.04241 g 
0.04001 g 
0.04200 g 
0.04668 g 
0.04839 g 
0.05044 g 
0.05133 g 
0.05195 g 
0.05291 g 
0.05215 g 
0.05359 g 
0.05578 g 
0.05479 g 
0.05161 g 
0.04973 g 
0.04675 g 
0.04555 g 
0.04323 g 
0.04032 g 
0.04330 g 
0.04774 g 
0.04979 g 
0.05554 g 
0.05872 g 
0.05882 g 
0.05961 g 
0.06101 g 
0.06238 g 
0.06532 g 
0.06587 g 
0.06399 g 
0.06293 g 
0.05858 g 
0.05971 g 
0.06122 g 
0.05998 g 
0.05862 g 
0.05899 g 
0.05903 g 
0.05793 g 
0.05739 g 
0.05879 g 
0.05889 g 
0.05547 g 
0.05379 g 
0.05568 g 
0.05831 g 
0.05903 g 
0.05742 g 
0.05557 g 
0.05345 g 
0.05157 g 
0.05068 g 
0.05243 g 
0.05513 g 
0.05745 g 
0.05650 g 
0.05390 g 
0.05359 g 
0.05468 g 
0.05499 g 
0.05537 g 
0.05749 g 
0.05848 g 
0.05858 g 
0.05523 g 
0.05297 g 
0.05540 g 
0.05845 g 
0.05906 g 
0.06077 g 
0.06269 g 
0.06457 g 
0.06549 g 
0.06594 g 
0.06792 g 
0.07038 g 
0.07028 g 
0.06983 g 
0.06977 g 
0.07124 g 
0.06983 g 
0.06594 g 
0.06245 g 
0.05920 g 
0.05752 g 
0.05677 g 
0.05769 g 
0.05656 g 
0.05745 g 
0.05622 g 
0.05417 g 
0.05219 g 
0.05301 g 
0.05359 g 
0.05386 g 
0.05379 g 
0.05352 g 
0.05366 g 
0.05144 g 
0.05085 g 
0.05092 g 
0.05301 g 
0.05465 g 
0.05940 g 
0.06238 g 
0.06354 g 
0.06330 g 
0.06337 g 
0.06505 g 
0.06535 g 
0.06617 g 
0.06611 g 
0.06423 g 
0.05975 g 
0.05650 g 
0.05571 g 
0.05499 g 
0.05414 g 
0.05338 g 
0.05171 g 
0.05126 g 
0.05273 g 
0.05345 g 
0.05345 g 
0.05397 g 
0.05530 g 
0.05766 g 
0.05821 g 
0.05783 g 
0.05937 g 
0.05879 g 
0.05626 g 
0.05739 g 
0.06053 g 
0.06019 g 
0.06019 g 
0.05951 g 
0.05896 g 
0.05886 g 
0.05916 g 
0.06146 g 
0.06108 g 
0.05882 g 
0.05438 g 
0.05277 g 
0.05003 g 
0.04836 g 
0.05065 g 
0.05161 g 
0.05082 g 
0.05082 g 
0.05273 g 
0.05359 g 
0.05663 g 
0.05998 g 
0.06118 g 
0.06128 g 
0.05920 g 
0.05745 g 
0.05721 g 
0.05544 g 
0.05386 g 
0.05472 g 
0.05349 g 
0.05195 g 
0.05328 g 
0.05400 g 
0.05509 g 
0.05609 g 
0.05612 g 
0.05735 g 
0.06081 g 
0.06046 g 
0.05920 g 
0.05896 g 
0.05824 g 
0.06036 g 
0.06108 g 
0.06299 g 
0.06375 g 
0.06320 g 
0.06173 g 
0.06091 g 
0.06337 g 
0.06433 g 
0.06385 g 
0.06111 g 
0.05886 g 
0.05749 g 
0.05998 g 
0.06228 g 
0.06180 g 
0.06087 g 
0.06101 g 
0.06313 g 
0.06405 g 
0.06631 g 
0.06977 g 
0.07045 g 
0.06758 g 
0.06559 g 
0.06768 g 
0.07178 g 
0.07264 g 
0.07031 g 
0.07007 g 
0.07021 g 
0.07141 g 
0.07223 g 
0.07366 g 
0.07407 g 
0.07271 g 
0.07021 g 
0.06884 g 
0.06942 g 
0.06894 g 
0.06727 g 
0.06665 g 
0.06676 g 
0.06812 g 
0.06826 g 
0.06689 g 
0.06621 g 
0.06573 g 
0.06440 g 
0.06614 g 
0.06676 g 
0.06580 g 
0.06583 g 
0.06344 g 
0.06351 g 
0.06429 g 
0.06580 g 
0.06556 g 
0.06450 g 
0.06275 g 
0.06255 g 
0.06217 g 
0.06269 g 
0.06313 g 
0.06279 g 
0.06296 g 
0.06204 g 
0.06231 g 
0.06549 g 
0.06696 g 
0.06648 g 
0.06628 g 
0.06552 g 
0.06693 g 
0.06959 g 
0.07274 g 
0.07561 g 
0.07821 g 
0.07808 g 
0.07760 g 
0.07623 g 
0.07397 g 
0.07305 g 
0.07083 g 
0.06898 g 
0.06778 g 
0.06696 g 
0.06556 g 
0.06662 g 
0.06843 g 
0.07247 g 
0.07592 g 
0.07917 g 
0.08208 g 
0.08365 g 
0.08266 g 
0.08331 g 
0.08522 g 
0.08639 g 
0.08608 g 
0.08461 g 
0.08451 g 
0.08399 g 
0.08580 g 
0.08539 g 
0.08680 g 
0.08669 g 
0.08362 g 
0.08204 g 
0.08269 g 
0.08622 g 
0.08669 g 
0.08468 g 
0.08211 g 
0.08351 g 
0.08437 g 
0.08358 g 
0.08632 g 
0.08851 g 
0.08799 g 
0.08707 g 
0.08823 g 
0.09087 g 
0.09278 g 
0.09210 g 
0.09217 g 
0.09487 g 
0.09463 g 
0.09111 g 
0.08998 g 
0.08734 g 
0.08557 g 
0.08420 g 
0.08300 g 
0.08081 g 
0.07855 g 
0.07602 g 
0.07619 g 
0.07852 g 
0.08050 g 
0.08218 g 
0.08208 g 
0.08256 g 
0.08242 g 
0=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.21 15:21:20 =~=~=~=~=~=~=~=~=~=~=~=
Initializing HX711...
...Tare...
HX711 Initialized!

Initializing LCD...
Testing the display...
LCD initialized!

Reading sensitivity from memory...
Sensitivity: 2924.07740 div/g 
0.00144 g 
0.00363 g 
0.00540 g 
0.00646 g 
0.00804 g 
0.00917 g 
0.00910 g 
0.01036 g 
0.01081 g 
0.01296 g 
0.01176 g 
0.00995 g 
0.00944 g 
0.00787 g 
0.00677 g 
0.00629 g 
0.00790 g 
0.00766 g 
0.00756 g 
0.00520 g 
0.00701 g 
0.00852 g 
0.00910 g 
0.01238 g 
0.01382 g 
0.01419 g 
0.01330 g 
0.01498 g 
0.01785 g 
0.01925 g 
0.01977 g 
0.01973 g 
0.02018 g 
0.02011 g 
0.02131 g 
0.02271 g 
0.02332 g 
0.02271 g 
0.02072 g 
0.02254 g 
0.02172 g 
0.02038 g 
0.01956 g 
0.01881 g 
0.01611 g 
0.01474 g 
0.01642 g 
0.01686 g 
0.01696 g 
0.01730 g 
0.01765 g 
0.02004 g 
0.02062 g 
0.02113 g 
0.02332 g 
0.02360 g 
0.02353 g 
0.02329 g 
0.02445 g 
0.02356 g 
0.02411 g 
0.02630 g 
0.02832 g 
0.03003 g 
0.03266 g 
0.03639 g 
0.03909 g 
0.04114 g 
0.04295 g 
0.04449 g 
0.04723 g 
0.04600 g 
0.04706 g 
0.04805 g 
0.05000 g 
0.04935 g 
0.04914 g 
0.05185 g 
0.05308 g 
0.05414 g 
0.05356 g 
0.05479 g 
0.05509 g 
0.05520 g 
0.05253 g 
0.05544 g 
0.05633 g 
0.05482 g 
0.05475 g 
0.05561 g 
0.05619 g 
0.05581 g 
0.05506 g 
0.05598 g 
0.05660 g 
0.05386 g 
0.05321 g 
0.05147 g 
0.05082 g 
0.04945 g 
0.05000 g 
0.05017 g 
0.04993 g 
0.04952 g 
0.04798 g 
0.04760 g 
0.04617 g 
0.04603 g 
0.04596 g 
0.04583 g 
0.04360 g 
0.04388 g 
0.04268 g 
0.04032 g 
0.04179 g 
0.04299 g 
0.04302 g 
0.04453 g 
0.04374 g 
0.04408 g 
0.04531 g 
0.04384 g 
0.04487 g 
0.04634 g 
0.04702 g 
0.04641 g 
0.04726 g 
0.04634 g 
0.04706 g 
0.04661 g 
0.04583 g 
0.04726 g 
0.04805 g 
0.04778 g 
0.04791 g 
0.04637 g 
0.04504 g 
0.04559 g 
0.04798 g 
0.04904 g 
0.04996 g 
0.05079 g 
0.05239 g 
0.05390 g 
0.05633 g 
0.06077 g 
0.06361 g 
0.06696 g 
0.06665 g 
0.06761 g 
0.06771 g 
0.06720 g 
0.06662 g 
0.06744 g 
0.06583 g 
0.06491 g 
0.06385 g 
0.06317 g 
0.06351 g 
0.06320 g 
0.06443 g 
0.06600 g 
0.06912 g 
0.07018 g 
0.07192 g 
0.07397 g 
0.07623 g 
0.07602 g 
0.07773 g 
0.07938 g 
0.08030 g 
0.08269 g 
0.08194 g 
0.08150 g 
0.08044 g 
0.07938 g 
0.08040 g 
0.08102 g 
0.08139 g 
0.08215 g 
0.08297 g 
0.08170 g 
0.08030 g 
0.08033 g 
0.07968 g 
0.08122 g 
0.08098 g 
0.08085 g 
0.07948 g 
0.08009 g 
0.08020 g 
0.08061 g 
0.08150 g 
0.08211 g 
0.08310 g 
0.08156 g 
0.07979 g 
0.08054 g 
0.07975 g 
0.07780 g 
0.07643 g 
0.07702 g 
0.07661 g 
0.07596 g 
0.07568 g 
0.07510 g 
0.07773 g 
0.07842 g 
0.07955 g 
0.08095 g 
0.08286 g 
0.08170 g 
0.08256 g 
0.08310 g 
0.08447 g 
0.08628 g 
0.08543 g 
0.08533 g 
0.08536 g 
0.08516 g 
0.08557 g 
0.08649 g 
0.08745 g 
0.08912 g 
0.08895 g 
0.08878 g 
0.08895 g 
0.08782 g 
0.08861 g 
0.08878 g 
0.08919 g 
0.09059 g 
0.09138 g 
0.09124 g 
0.09309 g 
0.09374 g 
0.09494 g 
0.09572 g 
0.09548 g 
0.09726 g 
0.09644 g 
0.09511 g 
0.09456 g 
0.09388 g 
0.09213 g 
0.09295 g 
0.09292 g 
0.09377 g 
0.09405 g 
0.09316 g 
0.09199 g 
0.09241 g 
0.09179 g 
0.09148 g 
0.09234 g 
0.09237 g 
0.09213 g 
0.09237 g 
0.09394 g 
0.09408 g 
0.09494 g 
0.09658 g 
0.09839 g 
0.10061 g 
0.10215 g 
0.10472 g 
0.10585 g 
0.10670 g 
0.10677 g 
0.10797 g 
0.10974 g 
0.11026 g 
0.11067 g 
0.10998 g 
0.10892 g 
0.10752 g 
0.10821 g 
0.10759 g 
0.10711 g 
0.10769 g 
0.10810 g 
0.10687 g 
0.10691 g 
0.10721 g 
0.10848 g 
0.10735 g 
0.10701 g 
0.10738 g 
0.10786 g 
0.10879 g 
0.10927 g 
0.11029 g 
